word,example
"markieren, markiert, markierte, hat markiert",Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.
"der Markt, ¨-e",1. Ich gehe heute auf den Markt. 2. Mittwochs und samstags ist bei uns Markt.
"die Marmelade, -n (D, A)",Bring bitte noch ein Glas Marmelade mit.
"die Maschine, -n",1. Ich habe eine neue Kaffeemaschine. 2. Unsere Maschine soll um 7 Uhr 10 starten.
das Material,Aus welchem Material ist der Schrank? – Aus Holz.
"die Matura (A, CH) → D: Abitur",Meine Tocher hat gerade die Matura gemacht.
"die Mauer, -n",Die Kinder sind über die Mauer geklettert.
maximal,1. Wie lange braucht ein Brief? – Maximal zwei Tage. 2. Wie schwer darf der Brief sein? – Maximal 20 g.
"der Mechaniker, die Mechanikerin, -nen",1. Das kann nur ein Mechaniker reparieren. 2. Karim ist Automechaniker. Er arbeitet bei Opel.
die Medien (Pl.),Umweltschutz ist in den Medien ein großes Thema.
"das Medikament, -e",1. Dieses Medikament gibt es nur auf Rezept. 2. Der Arzt hat mir ein Medikament verschrieben. 3. Für dieses Medikament müssen Sie fünf Euro dazu zahlen. 4. Dieses Medikament hat mir sehr gut geholfen.
die Medizin,1. Du musst noch deine Medizin nehmen. 2. Mein Sohn will Medizin studieren.
"das Meer, -e",Wir machen immer Urlaub am Meer.
das Mehl,Ich möchte einen Kuchen backen. Ist noch genug Mehl da?
mehr,1. Ich habe diesmal mehr gelernt als bei der letzten Prüfung. 2. Mehr kann ich nicht essen!
mehrere,1. Ich habe mehrere Leute gefragt. Aber niemand konnte mir helfen. 2. Viele Wörter haben mehrere Bedeutungen.
"die Mehrheit, -en",Die Mehrheit der Menschen in Deutschland besitzt ein Handy.
die Mehrwertsteuer,Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.
"meinen, meint, meinte, hat gemeint","1. Dieser Film ist gut. Was meinst du? 2. Ich meine, du solltest weniger rauchen."
meinetwegen,Meinetwegen kannst du heute das Auto haben.
"die Meinung, -en","1. Ich bin der Meinung, dass du recht hast. 2. Ich habe meine Meinung geändert. 3. Meiner Meinung nach gibt es hier zu viele Autos."
"meist-, die meisten",1. Wie gut kannst du Deutsch? – Das Meiste verstehe ich. 2. Ich bin neu im Haus. Die meisten Nachbarn kenne ich noch nicht.
meist(ens),"1. Meistens trinke ich zum Frühstück nur einen Kaffee. 2. Seid ihr am Wochenende zu Hause? – Ja, meistens."
"der Meister, -","1. Ich weiß nicht, wie man das macht. – Dann frag doch den Meister. 2. Unsere Mannschaft ist deutscher Meister geworden."
"melden, meldet, meldete, hat gemeldet",1. Ich habe schon zweimal angerufen. Aber es meldet sich niemand. 2. Den Unfall müssen Sie der Versicherung melden. 3. Warum hast du dich so lange nicht gemeldet? Warst du krank?
"die Meldung, -en",Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.
"die Menge, -n","1. Diesen Preis gibt es nur, wenn Sie große Mengen kaufen. 2. Wir haben noch eine Menge Zeit. 3. Ich kenne schon eine Menge Leute in der Stadt. 4. Das Auto hat bestimmt eine Menge Geld gekostet."
"die Mensa, -s/-en",Ich esse fast jeden Tag in der Mensa.
"der Mensch, -en",Die Menschen sind hier ein bisschen anders als im Süden.
menschlich,Fehler zu machen ist menschlich.
"das Menü, -s","Nimm doch das Menü, das sieht gut aus."
"merken, merkt, merkte, hat gemerkt","1. Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen. 2. Ich kann mir keine Zahlen merken. Ich vergesse sie sofort wieder."
merkwürdig,Das ist eine merkwürdige Geschichte.
"die Messe, -n",1. Kommst du mit zur Automobilmesse? 2. Vielleicht kann ich auf der Messe einen Job bekommen.
"messen, misst, maß, hat gemessen",1. Haben Sie schon Fieber gemessen? 2. Ich habe das Zimmer ausgemessen. Es sind genau 20 m².
"das Messer, -",Das Messer schneidet nicht gut.
"das Metall, -e",Dieser Tisch hier ist ganz aus Metall.
"die Methode, -n","Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?"
"die Metropole, -n",Berlin und Wien sind Metropolen.
"der Metzger, - → A: Fleischhauer",Dieser Metzger hat sehr gute Wurst.
"mieten, mietet, mietete, hat gemietet",1. Wir haben die Wohnung für drei Jahre gemietet. 2. Im Urlaub haben wir ein Auto gemietet.
"die Miete, -n",1. Unsere Miete ist sehr hoch. 2. Wie viel Miete bezahlst du?
"der Mieter, die Mieterin, -nen",Sie hat heute neue Mieter für die Wohnung gefunden.
"der Migrant, -en die Migrantin, -nen",Viele Migranten kommen aus Osteuropa.
"die Migration, -en",Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.
die Milch,Stellst du bitte die Milch in den Kühlschrank?
mild,"1. Möchten Sie die Soße scharf? – Nein, bitte ganz mild. 2. Wie wird das Wetter? – Es soll etwas milder werden."
"die Minderheit, -en",Frauen sind in unserer Firma in der Minderheit.
mindestens,1. Ein guter Fernsehapparat kostet mindestens 500 Euro. 2. Bitte kommen Sie mindestens eine Stunde vor Abflug zum Flughafen.
das Mineralwasser,Kann ich bitte ein Mineralwasser haben?
minimal,Da ist nur ein minimaler Unterschied.
"mischen, mischt, mischte, hat gemischt","1. Ich möchte ein gemischtes Eis mit Sahne. 2. Wie möchten Sie das Geld? – Bitte gemischt, große und kleine Scheine."
miss-,1. Die Konferenz war ein Misserfolg. 2. Das Misstrauen zwischen den beiden Parteien ist weiterhin groß. 3. Sie haben mich missverstanden. 4. Das ist ein Missverständnis. Das habe
mit,1. Ich gehe heute Abend mit Maria aus. 2. Wir suchen eine Dreizimmerwohnung mit Küche und Bad. 3. Ich hätte gern einen Tee mit Zitrone. 4. Mit meiner Mutter sind wir acht Personen. 5. Ich bin mit dem Fahrrad gekommen.
"der Mitarbeiter, die Mitarbeiterin, -nen",Unsere Firma hat sieben Mitarbeiter.
miteinander,Sprechen Sie bitte miteinander.
"das Mitglied, -er",Für Mitglieder ist der Eintritt zum Konzert gratis.
"die Mitte, -n","1. Wo möchten Sie sitzen? – In der Mitte. 2. Bis Mitte der Woche bin ich fertig. 3. Ich habe Urlaub bis Mitte August. 4. Den Schrank stellen wir ans Fenster, den Tisch in die Mitte."
"mitteilen, teilt mit, teilte mit, hat mitgeteilt",Den Prüfungstermin teilen wir Ihnen noch mit.
"das Mittel, -",1. Haben Sie ein Mittel gegen Magenschmerzen? 2. Der Arzt hat mir ein Mittel gegen Grippe verschrieben. 3. Das neue Waschmittel ist sehr gut.
mitten,1. Wir haben eine Wohnung mitten in der Stadt. 2. Das Flugzeug hatte Verspätung. Wir sind erst mitten in der Nacht angekommen.
mittler-,In den mittleren Reihen sind noch Plätze frei.
mittlerweile,Am Anfang war die Arbeit schwer. Mittlerweile habe ich mich daran gewöhnt.
"das Möbel, -",Wir haben uns neue Möbel gekauft.
möbliert,Ich suche ein möbliertes Zimmer.
"möchten, möchte, mochte, hat gemocht",1. Möchtest du auch einen Kaffee? 2. Im Sommer möchten wir gern ans Meer fahren.
mobil/mobil-,Mit dem Fahrrad bin ich in der Stadt sehr mobil.
"die Mobilbox, -en",Ich habe zwei Nachrichten auf meiner Mobilbox.
"die Mobilität, -en",Sprachen zu lernen fördert die Mobilität.
"das Mobiltelefon, -e",Wie kann ich Sie erreichen? Haben Sie ein Mobiltelefon?
"die Mode, -n",1. Wie findest du die neue Mode? 2. Welche Farbe ist denn jetzt gerade in Mode?
"das Modell, -e",Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.
modern,1. Die Wohnung ist modern eingerichtet. 2. Das Stadtzentrum von Frankfurt ist ganz modern.
"mögen, mag, mochte, hat gemocht","1. Ich mag keinen Reis. 2. Möchtest du noch ein Stück Kuchen? 3. Ich möchte gern Herrn Schmidt sprechen. 4. Herr Müller, Sie möchten bitte sofort zum Chef kommen."
möglich,Kann ich bitte sofort einen Termin haben? – Das ist leider nicht möglich.
"die Möglichkeit, -en",Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.
möglichst,"1. Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt. 2. Wir suchen eine Wohnung, möglichst im Erdgeschoss."
"die Möhre, -n (D) → Karotte; CH: Rüebli",Hasen fressen gern Möhren.
"der Moment, -e",1. Warten Sie bitte einen Moment. 2. Einen Moment bitte. 3. Ich habe im Moment sehr viel zu tun.
"der Mond, -e",Bei Vollmond kann ich nicht schlafen.
"der Monitor, -e",Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.
"der Motor, -en",Der Motor ist kaputt. Das Auto fährt nicht mehr.
"das Motorrad, ¨-er",Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.
müde,Ich bin müde. Ich gehe schlafen.
die Mühe,1. Vielen Dank für Ihre Mühe. 2. Mit ein bisschen mehr Mühe können wir das schaffen.
der Müll,1. Bringst du bitte noch den Müllsack raus? 2. Wir müssen den Müll trennen.
die Müllabfuhr,Die Müllabfuhr kommt zweimal pro Woche.
"die Mülltonne, -n",Die Mülltonne ist voll.
"der Mund, ¨-er",Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.
mündlich,Die mündliche Prüfung ist erst nächste Woche.
"die Münze, -n",Der Automat nimmt nur Münzen.
"das Museum, Museen",Wir waren mit unserer Klasse im Museum.
die Musik,1. Wie findest du die Musik? 2. Spanische Musik mag ich sehr. 3. Was für Musik hörst du gern?
musikalisch,"1. Sie ist sehr musikalisch: Sie spielt Klavier, Flöte und Geige. 2. Das musikalische Angebot gefällt mir."
"der Musiker, -","Mein Bruder möchte Musiker werden. die Musikerin, nen"
"der Muskel, -n",Im Fitness-Studio trainieren wir unsere Muskeln.
"das Müsli, -",Zum Frühstück gibt es Müsli mit Obst.
"müssen, muss, musste, hat gemusst (hat müssen als Modalverb)",1. Wie lange müssen Sie arbeiten? 2. Sie müssen die Miete pünktlich überweisen. 3. Ich muss jeden Tag von 8 bis 18 Uhr arbeiten. 4. Du musst mich nicht abholen. Nur wenn du willst.
der Mut,"Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen."
mutig,"Es war sehr mutig von dir, deine Meinung laut zu sagen."
"die Mutter, ¨-",1. Meine Mutter heißt Klara. 2. Dieser Raum ist für Mütter mit kleinen Kindern reserviert.
nach,1. Ich fahre morgen nach Hamburg. 2. Ich muss jetzt nach Hause. 3. Wir treffen uns nach dem Essen. 4. Es ist schon nach acht. Wir müssen uns beeilen.
"der Nachbar, -n die Nachbarin, nen",Meine neue Nachbarin ist sehr nett.
nachdem,"Nachdem wir gegessen hatten, sind wir spazieren gegangen."
"nachdenken, denkt nach, dachte nach, hat nachgedacht","Ich weiß nicht, was ich machen soll. Ich muss nachdenken."
"die Nachfrage, -n",Die Nachfrage für dieses Produkt ist groß.
nachher,Ich rufe nachher nochmal an.
"die Nachhilfe, -n",Der Schüler braucht Nachhilfe in Mathematik.
"die Nachricht, -en",1. Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden. 2. Ich habe im Radio die Nachrichten gehört. 3. Im Moment bin ich nicht zu Hause. Aber Sie können eine Nachricht hinterlassen.
"nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen",Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.
"die Nachspeise, -n (D, A) → Dessert",Nach dem Essen gab es noch eine leckere Nachspeise
nächst-,1. Wo ist hier die nächste Apotheke? 2. Rufen Sie bitte nächste Woche noch einmal an. 3. Wann fährt der nächste Zug nach Frankfurt? 4. Wer ist der Nächste bitte?
"der Nachteil, -e",Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.
der Nachwuchs,1. Der Nachwuchs bei Forschern soll gefördert werden. 2. Die Katze hat Nachwuchs bekommen.
"die Nadel, -n",Hast du eine Nadel für mich? Ich muss einen Knopf annähen.
"der Nagel, ¨-",1. Kannst du mir den Nagel in die Wand schlagen? 2. Ich muss mir die Fingernägel schneiden.
nah(e),"Wie weit ist es zum Bahnhof? – Das ist ganz nah, nur zwei Minuten von hier."
die Nähe,Die Post ist ganz in der Nähe vom Bahnhof.
"nähen, näht, nähte, hat genäht",1. Meine Mutter näht ihre Kleider selbst. 2. Wir müssen die Wunde nähen.
"sich nähern, nähert sich, näherte sich, hat sich genähert",Er nähert sich dem Unfallort ganz langsam.
"das Nahrungsmittel, -",In diesen Ländern fehlen vor allem Nahrungsmittel.
"der Name, -n",1. Wie ist Ihr Name? 2. An den Namen kann ich mich nicht mehr erinnern.
"der Familienname, -n",Ludin ist mein Familienname.
"der Vorname, -n",Mein Vorname ist Thomas.
nämlich,Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.
"die Nase, -n",Haben Sie Nasentropfen? Ich bin stark erkältet.
nass,1. Es hat schrecklich geregnet. Ich bin ganz nass geworden. 2. Geh nicht mit den nassen Schuhen ins Wohnzimmer.
national/national-,1. Das ist ein nationaler Wettbewerb. 2. Die Nationalmannschaft ist ziemlich stark.
die Natur,Ich bin gern draußen in der Natur.
natürlich,1. Natürlich helfen wir dir. 2. Kommst du auch wirklich zu meiner Party? – Natürlich.
"der Nebel, -",1. Wegen Nebels konnten wir gestern nicht in Frankfurt landen. 2. Fahren Sie bei Nebel besonders vorsichtig!
neblig,Fahr vorsichtig! Es ist neblig.
neben,1. Neben mir ist noch ein Platz frei. 2. Darf ich mich neben dich setzen? 3. Die Apotheke ist gleich links neben der Post.
nebenan,"Das ist José, er wohnt nebenan."
nebenbei,1. Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe. 2. Ich mache die Hausarbeit und nebenbei höre ich Radio.
"der Neffe, -n",Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.
negativ,Du solltest nicht alles negativ sehen.
"nehmen, nimmt, nahm, hat genommen",1. Was möchten Sie? – Ich nehme einen Salat. 2. Nehmen Sie die Tabletten vor dem Essen! 3. Wer hat die Flasche aus dem Kühlschrank genommen? 4. Sollen wir ein Taxi nehmen? 5. In diesem Jahr kann ich meinen Urlaub
nein,"1. Noch ein Bier? – Nein, danke. 2. Kommst du auch mit nach München? – Nein, ich habe keine Zeit."
"nennen, nennt, nannte, hat genannt","1. Mein Freund heißt Alexander, aber alle nennen ihn Alex. 2. Wie nennt man dieses Gerät?"
"der Nerv, -en",1. Er leidet an einer Nervenkrankheit. 2. Mach bitte das Radio aus. Die Musik geht mir auf die Nerven.
nervös,1. Das Warten macht mich ganz nervös. 2. Bei Prüfungen bin ich immer sehr nervös.
nett,1. Die Leute sind hier sehr nett. 2. Ich habe viele nette Kollegen. 3. Vielen Dank! Das ist sehr nett von Ihnen. 4. Die Nachbarn waren sehr nett zu uns.
"das Netz, -e",1. Bitte bring ein Netz Orangen. 2. Der Ball berührte das Netz. 3. Seid ihr schon ans Netz angeschlossen?
"das Netzwerk, -e",1. Soziale Netzwerke sind wichtig. 2. Das Telefonnetzwerk wird ständig erweitert.
neu,1. Mein Wagen ist noch ganz neu. 2. Wir haben eine neue Wohnung. 3. Man darf hier nicht mehr rauchen? Das ist mir ganz neu.
"die Neuigkeit, -en",In dieser Sache gibt es keine Neuigkeiten.
neugierig,Die Nachbarn sind ziemlich neugierig.
neulich,Ich war neulich bei der Bank und habe einen alten Freund getroffen.
nicht,"1. Zigarette? - Danke, ich rauche nicht. 2. Wie geht es dir? – Nicht so gut. 3. Das Essen in der Kantine ist gar nicht schlecht. 4. Du kommst immer zu spät! - Das stimmt nicht."
"die Nichte, -n",Die Tasche ist ein Geschenk von meiner Nichte.
"der Nichtraucher, die Nichtraucherin, -nen",1. In unserer Familie sind alle Nichtraucher. 2. Möchten Sie einen Tisch im Nichtraucherbereich?
nichts,1. Ich habe noch nichts gegessen. 2. Ich weiß auch nichts Genaues. 3. Ich habe nichts zum Schreiben dabei. 4. Entschuldigung! – Das macht nichts.
nie,1. Der Chef ist nie da. 2. Warum bist du nie zufrieden? 3. Bis morgen Abend schaffe ich die Arbeit nie. 4. Ich gehe nie wieder in dieses Restaurant.
niedrig,1. Die Räume hier sind mir zu niedrig. 2. Für die Jahreszeit sind die Temperaturen zu niedrig. 3. Die Firma zahlt sehr niedrige Löhne.
niemand,Ich habe geklingelt. Aber es war niemand zu Hause.
nirgends,1. Ich kann die Quittung nirgends finden. 2. Hier kann man nirgends parken.
nirgendwo,Die Schlüssel kann ich nirgendwo finden.
noch,"1. Mein Bruder geht noch zur Schule. 2. Bist du fertig. – Nein, noch nicht ganz. 3. Haben Sie noch einen Wunsch? – Ja, bitte noch ein Bier. 4. Sonst noch etwas? – Nein, danke. 5. Ich komme später. Ich muss erst noch einkaufen. 6. Meine Freundin studiert, und abends arbeitet sie noch als Kellnerin. 7. Es ist nicht mehr viel Zeit. Nur noch fünf Minuten. 8. Ich habe nur noch 20 Euro. 9. Ist das Essen schon fertig. – Nein, es dauert noch ein paar Minuten. 10. Ist Amadeo schon da? – Vielleicht kommt er noch."
noch mal,1. Vielen Dank nochmal. 2. Bitte sagen Sie das nochmal.
nochmals,Nochmals vielen Dank!
normal,Fehler zu machen ist doch ganz normal.
normalerweise,Wann haben Sie normalerweise Pause?
"die Notaufnahme, -n",Die Notaufnahme ist gleich hier links.
"der Notausgang, ¨-e",Der Notausgang ist gleich hier bei der Treppe.
"der Notfall, ¨-e",1. Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen. 2. Im Notfall rufen Sie bitte diese Nummer an.
der Notruf,Der Notruf hat die Nummer 110.
"die Note, -n",1. Eva hat immer sehr gute Noten in Mathematik. 2. Meine Kinder lernen im Musikunterricht gerade Noten lesen.
notieren,Ich habe mir den Termin notiert.
nötig,"1. Wenn es nötig ist, nehmen Sie noch eine Tablette. 2. Kann ich Ihnen helfen? – Danke, nicht nötig."
"die Notiz, -en",1. Ich habe Ihnen eine Notiz geschrieben. 2. Hast du einen Notizzettel für mich?
notwendig,"Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig."
"die Nudel, -n",Möchten Sie Nudeln oder Reis? – Lieber Nudeln.
"die Nummer, -n",1. Ich habe mich in der Hausnummer geirrt. 2. Ich habe die falsche Nummer gewählt. 3. Der Wagen hatte eine Münchner Nummer. 4. Sie haben Zimmer Nummer zwölf. 5. Bitte geben Sie mir Ihre Kontonummer. 6. Haben Sie die Bluse eine Nummer kleiner?
nun,"1. Schade, dass du arbeiten musst. – Das ist nun mal so. 2. Was ist jetzt? Kommst du nun endlich?"
nur,1. Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro. 2. Ich habe keinen Hunger. Ich möchte nur etwas trinken. 3. Ich habe nur heute Abend Zeit. 4. Kannst du mir Geld leihen? Tut mir leid. Ich habe nur fünf Euro dabei.
"nutzen, nutzt, nutzte, hat genutzt",Ich möchte das schöne Wetter nutzen und spazieren gehen.
"nützen, nützt, nützte, hat genützt",Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.
nützlich,Danke für den Tipp. Das war sehr nützlich.
ob,"Ich weiß noch nicht, ob ich kommen kann."
oben,1. Wir wohnen oben im 4. Stock. 2. Die Butter liegt im Kühlschrank ganz oben.
ober-,Die Wohnung im oberen Stockwerk ist vermietet.
"der Ober, - (D, A) →",Ich bin Ober von Beruf. Kellner; CH: Serviceangestellter
das Schlagobers (A) → D: (Schlag-)Sahne; CH: (Schlag-)Rahm,Ich hätte gern ein Stück Torte mit (Schlag-)Obers.
"das Obst (D, A) → CH: Früchte",Obst kaufe ich am liebsten auf dem Markt.
obwohl,"Obwohl meine Kollegin krank ist, geht sie arbeiten."
oder,1. Möchten Sie Kaffee oder Tee? 2. Entweder wir fahren mit dem Bus oder wir gehen zu Fuß.
"der Ofen, ¨- (D, CH) → A: (Back-)Rohr",Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Ofen.
offen,"1. Komm rein. Die Haustür ist offen. (A) (D: auf) 2. Ich glaube, der Supermarkt ist jetzt noch offen. 3. Im Sommer schlafe ich immer bei offenem Fenster. 4. Ich habe mit meinem Kollegen ganz offen über mein Problem gesprochen. 5. Einzelne Fragen sind noch offen."
